"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
5,0.001,7.64545454545455,33.8909090909091,2,10,100,9,2,5e+05,"150527_323.RData"
10,0.001,3.94545454545455,38.0181818181818,2,10,100,9,2,5e+05,"150527_324.RData"
2,0.001,16.5818181818182,33.8272727272727,2,10,100,8.8,2,5e+05,"150527_325.RData"
5,0.001,8.1,34.2545454545455,2,10,100,9,2,5e+05,"150527_326.RData"
10,0.001,4.06363636363636,35.2454545454545,2,10,100,8.4,2,5e+05,"150527_327.RData"
2,0.001,31.2,27.2818181818182,2,10,100,9,2,5e+05,"150527_328.RData"
5,0.001,7.65454545454545,37.8454545454545,2,10,100,8.8,2,5e+05,"150527_329.RData"
5,0.001,7.45454545454546,35.5181818181818,2,10,100,9,2,5e+05,"150527_32.RData"
10,0.001,3.70909090909091,37.3272727272727,2,10,100,8.8,2,5e+05,"150527_330.RData"
2,0.001,15.7545454545455,32.2727272727273,2,10,100,8.8,2,5e+05,"150527_331.RData"
5,0.001,20.3272727272727,33.4909090909091,2,10,100,8,2,5e+05,"150527_332.RData"
10,0.001,4.34545454545455,35.8181818181818,2,10,100,8.6,2,5e+05,"150527_333.RData"
2,0.01,16.7,31.8454545454545,2,10,100,8.6,2,5e+05,"150527_334.RData"
5,0.01,7.3,35.2181818181818,2,10,100,9,2,5e+05,"150527_335.RData"
10,0.01,4.19090909090909,37.1090909090909,2,10,100,8.2,2,5e+05,"150527_336.RData"
2,0.01,15.9545454545455,35.0545454545455,2,10,100,9,2,5e+05,"150527_337.RData"
5,0.01,7.65454545454545,36.2181818181818,2,10,100,9,2,5e+05,"150527_338.RData"
10,0.01,4.18181818181818,36.5818181818182,2,10,100,8.8,2,5e+05,"150527_339.RData"
10,0.001,3.87272727272727,36.2,2,10,100,8.6,2,5e+05,"150527_33.RData"
2,0.01,16.9545454545455,32.2363636363636,2,10,100,8.8,2,5e+05,"150527_340.RData"
5,0.01,7.43636363636364,36.0727272727273,2,10,100,9,2,5e+05,"150527_341.RData"
10,0.01,4.1,35.0454545454545,2,10,100,8.8,2,5e+05,"150527_342.RData"
2,0.01,16.5818181818182,33.9,2,10,100,9,2,5e+05,"150527_343.RData"
5,0.01,7.56363636363636,34.4,2,10,100,8.6,2,5e+05,"150527_344.RData"
10,0.01,3.86363636363636,37.1,2,10,100,9,2,5e+05,"150527_345.RData"
2,0.01,16.5636363636364,32.6545454545455,2,10,100,8.8,2,5e+05,"150527_346.RData"
5,0.01,7.52727272727273,34.9363636363636,2,10,100,8.4,2,5e+05,"150527_347.RData"
10,0.01,4.3,34.6818181818182,2,10,100,8.8,2,5e+05,"150527_348.RData"
2,0.01,16.5454545454545,33.8363636363636,2,10,100,8.6,2,5e+05,"150527_349.RData"
2,0.001,16.4545454545455,33.1727272727273,2,10,100,9,2,5e+05,"150527_34.RData"
5,0.01,7.67272727272727,34.2545454545455,2,10,100,8.2,2,5e+05,"150527_350.RData"
10,0.01,4.01818181818182,36.3727272727273,2,10,100,8.8,2,5e+05,"150527_351.RData"
2,0.01,16.6909090909091,31.4636363636364,2,10,100,8.6,2,5e+05,"150527_352.RData"
5,0.01,6.83636363636364,36.0636363636364,2,10,100,8.2,2,5e+05,"150527_353.RData"
10,0.01,4.14545454545455,35,2,10,100,9,2,5e+05,"150527_354.RData"
2,0.01,16.8090909090909,32.3545454545455,2,10,100,9,2,5e+05,"150527_355.RData"
5,0.01,7.53636363636364,35.2181818181818,2,10,100,9,2,5e+05,"150527_356.RData"
10,0.01,3.96363636363636,36.0454545454545,2,10,100,9,2,5e+05,"150527_357.RData"
2,0.01,16.3454545454545,33.5181818181818,2,10,100,9,2,5e+05,"150527_358.RData"
5,0.01,7.9,34.1818181818182,2,10,100,8.6,2,5e+05,"150527_359.RData"
5,0.001,7.87272727272727,34.5090909090909,2,10,100,9,2,5e+05,"150527_35.RData"
10,0.01,3.92727272727273,36.7,2,10,100,9,2,5e+05,"150527_360.RData"
